id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
limit	-0.0635	0.048	1	139	326	5	2010.544865
limitations	-0.0248	-0.5497	1	342	1012	12	2012.614846
line	0.0818	-0.1125	1	171	408	4	2011.363128
linear discriminant	0.8377	-0.0229	3	146	380	4	2010.55
linear discriminant analysis	0.8061	-0.2696	3	126	308	3	2011
linear regression	-0.7097	0.2203	1	139	374	4	2012.840304
links	-0.3643	0.74	1	73	156	2	2012.592814
list	0.5667	-0.8158	3	84	180	2	2011.824176
literature	-0.103	0.1302	1	154	376	5	2011.726524
lithology	0.9373	-0.4544	3	58	130	2	2011.018868
location	-0.1171	0.1369	1	339	1060	12	2010.881081
log-weibull distribution	-0.0135	1.8752	2	34	150	3	2003
log-weibull/cfar	-0.0163	1.8811	2	34	104	2	2003.5
logistic regression	-0.3745	0.5023	2	129	302	3	2012.340909
logistics	-0.4288	-0.1061	1	80	162	2	2014.516129
long-term	0.014	-0.3891	1	62	124	2	2012.366366
loss	-0.0174	-0.2703	3	176	420	4	2013.251087
lossless compression	0.7704	-0.0984	2	55	146	3	2016.333333
low cost	-0.7355	-0.8113	1	140	378	3	2014
low earth orbiter	-0.5297	-0.359	1	105	236	2	2012.75
low resolution	-0.1663	-0.5227	1	105	228	2	2013.349398
lowlands	0.576	-0.9857	3	126	302	3	2013.427273
machine learning	0.2679	-0.093	2	363	1220	15	2016.761905
magic	0.4016	0.8133	2	101	274	3	2012.75
magnetic field	0.3743	0.1896	2	36	76	2	2010.833333
magnitude	-0.4322	-0.3346	1	229	618	6	2011.364091
mahalanobis	0.5112	1.1251	2	87	202	2	2004.333333
mahalanobis distance	0.5116	1.1252	2	87	202	2	2013.75
maintenance	0.1684	0.54	2	75	154	2	2010.394191
majority voting	0.8057	0.4702	2	87	200	2	2011
management	0.374	-0.7817	3	190	476	5	2013.088766
manitoba	-0.4251	-0.0146	1	68	148	2	2010.155556
map	0.0929	-0.2731	3	782	4020	43	2011.727201
mapping	0.5093	-0.2489	3	758	4302	46	2012.226667
margin	0.9194	-0.5034	3	103	232	3	2010.972504
marginal ice	-0.3243	0.7469	2	302	1112	12	2011.113924
marginal ice zone	-0.3229	0.7472	2	302	1112	12	2011.202899
marine	0.3106	-0.0493	1	250	702	7	2012.020366
marine disasters	0.9625	0.6862	2	103	294	3	2017.333333
maritime	0.6061	-0.2482	3	173	444	4	2011.981865
markov	0.6229	0.8201	2	220	912	13	2011.964912
markov chain	0.862	0.1224	3	77	224	4	2012.472222
markov chain monte carlo	0.8905	0.0488	3	63	172	3	2013.076923
markov random field	0.5923	0.9255	2	244	1038	14	2008.473684
masks	0.6396	-0.0743	2	129	296	3	2010.955556
mass	-0.5302	-0.5056	1	205	478	5	2010.941993
mass balance	-0.3203	-0.7016	1	86	176	2	2012.104996
matching	0.4989	-0.2517	3	117	246	3	2013.176471
materials	1.2469	-0.7591	3	105	330	4	2011.458333
mathematical model	-0.2514	0.7128	1	76	166	2	2011.674419
matrix	0.0923	0.5884	2	492	2430	27	2011.695341
maximum	0.6515	-0.0559	3	278	962	12	2010.287843
maximum likelihood	0.61	0.0148	3	455	1956	24	2009.226667
maximum likelihood classification	0.8183	-0.4438	3	160	444	5	2011.125
maximum likelihood estimate	0.5059	0.6227	2	78	204	4	2008.181818
mean	-0.2098	-0.3132	2	360	1190	13	2010.953636
measurements	-0.1602	-0.3403	1	1002	6856	74	2010.932763
mechanisms	0.2174	-0.4652	3	415	1444	16	2011.610479
media	-0.1522	-0.1432	1	127	308	4	2012.027933
mediterranean	0.7768	0.0225	1	88	194	2	2009.594488
melt	-0.5938	-0.0352	1	362	1176	10	2013.146853
melt pond	-0.926	-0.3319	1	101	242	2	2013.733333
melt ponds	-0.5719	0.0239	2	144	340	3	2013.434783
melting	-0.5583	-0.4907	1	139	312	3	2012.110283
melville peninsula	0.9466	-0.5108	3	63	150	2	2000.333333
memory	0.8453	-0.1901	3	123	312	4	2012.1
mercury	0.972	-0.8159	3	88	210	2	2013.027778
meteorological	-0.7336	0.488	1	255	834	10	2009.80117
meteorological data	-0.1856	-0.3959	1	74	152	2	2010.80814
method	0.2625	0.1982	2	1303	12386	157	2012.144788
method accuracy	0.8293	-0.2946	3	96	226	3	2011.866667
methodology	-0.0724	-0.1127	1	529	1914	21	2012.912525
metrics	0.4579	-0.3412	3	199	494	6	2015.541833
microwave	-0.6229	0.1614	1	540	2384	25	2009.844327
microwave imager	-0.7385	0.3126	1	151	436	5	2006.427273
microwave radiometer	-0.7626	0.0845	1	216	646	7	2010.439655
